Country Name,chengshirenk,jishuchuk,renjunGDP,gaodengjiaoyuzhanbi
阿富汗,25.495,0,485.6684187,9.686420441
阿尔巴尼亚,60.319,0.044701906,5287.663694,54.96133041
阿根廷,91.87,5.402984041,11795.15939,91.6006012
亚美尼亚,63.149,7.055598424,4220.540321,54.57048035
澳大利亚,86.012,18.17692094,57180.7794,107.8080521
奥地利,58.297,11.64557129,51461.43322,86.68834686
阿塞拜疆,55.68,4.345525454,4739.84171,27.70849991
布隆迪,13.032,17.04276442,238.783467,4.057660103
比利时,98.001,11.70534093,47519.5531,78.90116882
保加利亚,75.008,10.36870228,9446.700772,71.52152252
巴林,89.287,0.449029825,24085.95599,50.48189926
波斯尼亚和黑塞哥维那,48.245,5.254731563,6070.349081,43.4591217
白俄罗斯,78.595,4.051827533,6360.062473,87.42909241
伯利兹,45.724,0.066546021,5001.422157,24.54084015
巴西,86.569,14.74391228,9151.381732,53.25735092
文莱达鲁萨兰国,77.629,0.042430082,31628.47626,31.21179962
博茨瓦纳,69.446,0.655100823,7503.878588,26.71711922
加拿大,81.411,15.42187915,46548.52036,70.11302185
瑞士,73.797,13.31746702,86388.40495,61.37744904
智利,87.564,6.88038579,15888.14436,90.8963089
中国,59.152,31.46749676,9905.342004,50.60443878
喀麦隆,56.374,7.025263121,1585.240534,14.26727009
哥伦比亚,80.778,7.221371389,6729.583332,55.32749176
佛得角,65.732,9.64E-05,3616.464537,23.61651039
哥斯达黎加,79.34,18.46687014,12485.4239,55.31010056
塞浦路斯,66.81,19.87383673,29334.11093,81.33708191
捷克共和国,73.792,19.55141588,23419.73561,63.76876831
德国,77.312,15.7444629,47950.18081,70.34264374
丹麦,87.874,12.35893742,61591.92887,81.18334961
厄瓜多尔,63.821,5.289314901,6295.934662,47.59777069
阿拉伯埃及共和国,42.704,0.865008479,2537.125185,38.90494919
欧洲货币联盟,76.99308605,16.05002021,40038.18717,75.13626099
西班牙,80.321,6.766472703,30349.7521,91.11257172
爱沙尼亚,68.88,18.171464,23052.30126,70.36543274
埃塞俄比亚,20.763,13.64514974,771.5248663,10.42656994
芬兰,85.382,9.017583109,49964.49991,90.2617569
法国,80.444,25.91703372,41572.48501,67.54351807
英国,83.398,22.31955772,43646.95197,61.38288879
格鲁吉亚,58.632,3.123405038,4722.787783,60.33444977
加纳,56.06,8.302212282,2260.860567,15.6917696
希腊,79.058,12.94977838,19747.34258,142.8520355
格林纳达,36.272,12.72362215,10466.88221,104.561882
中国香港特别行政区,100,64.65259172,48542.68187,76.92223358
洪都拉斯,57.096,1.962644177,2492.868968,26.16422081
克罗地亚,56.947,8.837440802,15227.5601,67.65422821
匈牙利,71.351,16.80992462,16427.37276,50.30653
印度尼西亚,55.325,8.212824218,3893.859578,36.31103897
印度,34.03,9.040355651,1996.915087,28.06055069
爱尔兰,63.17,24.81871688,79068.97461,77.28288269
冰岛,93.813,23.47336502,74469.80406,73.1032486
以色列,92.418,22.53592256,42063.45313,61.47687149
意大利,70.438,7.475532102,34605.26273,64.29161835
日本,91.616,17.26924115,39808.16856,64.10384369
哈萨克斯坦,57.428,23.46908272,9812.626371,53.98825073
吉尔吉斯斯坦,36.351,8.051890144,1308.140165,41.26702118
柬埔寨,23.388,1.409278877,1512.126989,13.68776035
大韩民国,81.459,36.39070572,33422.94421,95.864151
科威特,100,4.116977361,33399.06044,54.36413956
老挝,35.004,38.01673934,2569.093892,14.96675968
圣卢西亚,18.678,14.33878777,11353.71521,14.06653023
莱索托,28.153,0.657639017,1192.48432,10.19626045
立陶宛,67.679,12.10092546,19176.81215,73.7303009
卢森堡,90.981,6.973219231,117197.4817,18.59046936
拉脱维亚,68.142,20.54819941,17856.30712,93.02448273
中国澳门特别行政区,100,0,87526.07999,90.65709686
摩洛哥,62.453,4.018602209,3226.982794,35.93592834
摩尔多瓦,42.629,2.518813431,4230.363037,55.77304077
马达加斯加,37.191,0.395051888,523.9459714,5.350490093
墨西哥,80.156,20.88855391,9686.984927,41.52280045
北马其顿,57.963,4.049069367,6108.740108,43.11650085
马耳他,94.612,33.07080718,30672.29224,59.25175858
缅甸,30.579,3.624719006,1250.173691,18.81594086
黑山,66.813,3.153848877,8845.914219,56.08097076
蒙古,68.445,4.99382363,4156.84697,65.59544373
莫桑比克,35.988,5.648433095,503.3179252,7.312550068
毛里求斯,40.793,2.597958798,11208.34382,41.5999794
马来西亚,76.036,53.26966951,11380.08209,45.1253891
纳米比亚,50.032,0.219642271,5588.392864,24.10160065
荷兰,91.49,22.49154351,53018.62936,87.09784698
挪威,82.248,21.11728402,82267.80932,83.01725769
尼泊尔,19.74,0.630576358,1178.525932,12.41086006
新西兰,86.538,9.811476304,43306.07,82.98303223
阿曼,84.539,1.258040481,18947.3665,38.03620911
巴基斯坦,36.666,2.16975284,1482.213067,8.9584198
波兰,60.058,10.39395684,15468.48222,68.62010193
葡萄牙,65.211,5.283415851,23551.04829,65.66265869
约旦河西岸和加沙,76.164,0.850022139,3562.330943,44.25381088
卡塔尔,99.135,1.798843102,65907.94844,17.86992073
罗马尼亚,53.998,10.07718332,12398.98198,51.01253891
俄罗斯联邦,74.433,11.31874347,11287.35528,84.5842514
卢旺达,17.211,2.571565367,783.6371628,6.725719929
沙特阿拉伯,83.844,0.543860569,23337.01755,68.03988647
新加坡,100,51.56363888,66679.04649,88.88645172
萨尔瓦多,72.023,6.126993223,4052.624775,29.37192917
斯洛伐克共和国,53.726,10.63636485,19380.51351,45.36722946
斯洛文尼亚,54.541,6.825057256,26104.10279,77.11312103
瑞典,87.431,14.1596913,54589.06039,72.46116638
塞舌尔,56.691,5.243567539,15994.81986,17.07984924
突尼斯,68.945,6.764499807,3680.892597,31.74651909
土耳其,75.143,2.673518793,9454.348443,113.2170715
乌拉圭,95.334,7.621977974,18703.86029,97.44525146
美国,82.256,18.47405368,63064.41841,88.29917908
乌兹别克斯坦,50.478,0.453823642,1597.068337,10.07635021
